,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
1078,2020.0,31100,1,0,0,2.0,0.0,50000.0,25000.0,4.0,1.0,29.0,3.0,1.0,6,1,4,3,,,,,,1.0,,,,,,,,,,,31100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,2020.0,31130,1,0,0,2.0,0.0,100000.0,50000.0,4.0,2.0,28.0,3.0,1.0,"1,6",1,"4,2",3,1.0,,,,,1.0,,,,,,,,,,,31130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,2020.0,23070,1,0,0,4.0,0.0,50000.0,12500.0,4.0,1.0,36.0,3.0,1.0,1,1,"9,4",4,1.0,,,,,,,,,,,,,,,,23070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,2020.0,"31270,31270",2,1,2,2.0,0.0,170000.0,85000.0,4.0,1.0,36.0,2.0,1.0,"1,6",1,"5,4",1,1.0,,,,,1.0,,,,,,,,,,,31270,31270,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
1082,2020.0,31370,1,0,0,2.0,0.0,70000.0,35000.0,4.0,2.0,32.0,2.0,1.0,6,1,4,3,,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,2020.0,32020,1,0,0,4.0,0.0,170000.0,42500.0,4.0,1.0,53.0,2.0,1.0,1,1,4,3,1.0,,,,,,,,,,,,,,,,32020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,2020.0,31380,1,1,3,5.0,0.0,330000.0,106000.0,4.0,1.0,56.0,4.0,1.0,"1,6",1,"6,4,2",4,1.0,,,,,1.0,,,,,,,,,,,31380,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1085,2020.0,31040,1,0,0,3.0,0.0,99999.0,33333.0,4.0,2.0,45.0,4.0,1.0,6,1,4,3,,,,,,1.0,,,,,,,,,,,31040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,2020.0,34040,1,0,0,5.0,0.0,160000.0,32000.0,4.0,1.0,43.0,4.0,1.0,"1,4",1,"4,14",4,1.0,,,1.0,,,,,,,,,,,,,34040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,2020.0,23010,1,0,0,4.0,0.0,154000.0,38500.0,4.0,2.0,28.0,4.0,1.0,"1,6",1,"4,14,8",3,1.0,,,,,1.0,,,,,,,,,,,23010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,2020.0,32010,1,0,0,20.0,0.0,30000.0,30000.0,4.0,1.0,62.0,3.0,1.0,6,7,"11,4,14",5,,,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,2020.0,31100,1,0,0,5.0,0.0,150000.0,30400.0,4.0,2.0,21.0,3.0,1.0,"2,6,15","5,6,2","5,9,4",3,,1.0,,,,1.0,,,,,,,,1.0,,,31100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,2020.0,"38350,38350",2,1,3,4.0,2.0,270000.0,67500.0,4.0,2.0,40.0,5.0,1.0,"1,6",1,2,1,1.0,,,,,1.0,,,,,,,,,,,38350,38350,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1091,2020.0,"34330,34330",2,1,3,4.0,0.0,280000.0,70000.0,4.0,1.0,28.0,5.0,1.0,"1,2,6",1,"11,2,4",3,1.0,1.0,,,,1.0,,,,,,,,,,,34330,34330,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1092,2020.0,31130,1,0,0,3.0,1.0,88002.0,29334.0,4.0,1.0,33.0,5.0,1.0,"1,6",1,"4,2,11",1,1.0,,,,,1.0,,,,,,,,,,,31130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,2020.0,33040,1,0,0,4.0,2.0,130000.0,32500.0,4.0,1.0,42.0,5.0,1.0,6,1,"3,5,4",1,,,,,,1.0,,,,,,,,,,,33040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2020.0,31240,1,1,13,1.0,,40000.0,40000.0,4.0,1.0,53.0,5.0,1.0,6,1,15,,,,,,,1.0,,,,,,,,,,,31240,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
1095,2020.0,31280,1,0,0,4.0,0.0,94000.0,23500.0,4.0,2.0,46.0,6.0,1.0,"1,6",1,"4,3",4,1.0,,,,,1.0,,,,,,,,,,,31280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,2020.0,"33370,33370",2,1,10,2.0,0.0,215000.0,107500.0,4.0,1.0,27.0,6.0,1.0,"1,6",1,"2,4",3,1.0,,,,,1.0,,,,,,,,,,,33370,33370,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
