,sex,age,area,q1,q3,q6,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,target_q7
53,2.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,온천 휴양지
54,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,"강이나 계곡, 유원지 등"
55,2.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,"강이나 계곡, 유원지 등"
56,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,2.0,2.0,6.0,3.0,1.0,1.0,5.0,4.0,온천 휴양지
57,2.0,2.0,6.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,5.0,3.0,해수욕장이나 바다
58,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,5.0,1.0,"강이나 계곡, 유원지 등"
59,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,6.0,2.0,기타
60,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,5.0,1.0,해수욕장이나 바다
61,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,5.0,1.0,"강이나 계곡, 유원지 등"
62,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,기타
63,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,해수욕장이나 바다
64,2.0,2.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,5.0,9.0,기타
65,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,6.0,2.0,2.0,2.0,5.0,9.0,"강이나 계곡, 유원지 등"
66,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,6.0,5.0,4.0,산이나 국립공원
67,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0,5.0,2.0,"강이나 계곡, 유원지 등"
